TID, Nice, Tick
11, -20, 1485
11, -20, 1489
13, -10, 1534
13, -10, 1489
14, 1, 1534
12, 20, 1534
11, -20, 1536
11, -20, 1539
11, -20, 1540
11, -20, 1541
11, -20, 1542
11, -20, 1543
11, -20, 1544
11, -20, 1545
11, -20, 1546
11, -20, 1547
11, -20, 1548
11, -20, 1549
11, -20, 1550
11, -20, 1551
11, -20, 1551
11, -20, 1552
11, -20, 1553
11, -20, 1554
11, -20, 1555
11, -20, 1556
11, -20, 1557
11, -20, 1558
11, -20, 1559
11, -20, 1560
11, -20, 1561
11, -20, 1562
15, -1, 1563
11, -20, 1564
11, -20, 1568
13, -10, 1613
13, -10, 1568
14, 1, 1613
12, 20, 1613
11, -20, 1615
11, -20, 1618
11, -20, 1619
11, -20, 1620
11, -20, 1621
11, -20, 1622
11, -20, 1623
11, -20, 1624
11, -20, 1625
11, -20, 1626
11, -20, 1627
11, -20, 1628
11, -20, 1629
11, -20, 1630
11, -20, 1630
11, -20, 1631
11, -20, 1632
11, -20, 1633
11, -20, 1634
11, -20, 1635
11, -20, 1636
11, -20, 1637
11, -20, 1638
11, -20, 1639
11, -20, 1640
11, -20, 1641
15, -1, 1642
11, -20, 1643
11, -20, 1647
13, -10, 1692
13, -10, 1647
14, 1, 1692
12, 20, 1692
11, -20, 1694
11, -20, 1697
11, -20, 1698
11, -20, 1699
11, -20, 1700
11, -20, 1701
11, -20, 1702
11, -20, 1703
11, -20, 1704
11, -20, 1705
11, -20, 1706
11, -20, 1707
11, -20, 1708
11, -20, 1709
11, -20, 1710
11, -20, 1710
11, -20, 1711
11, -20, 1712
11, -20, 1713
11, -20, 1714
11, -20, 1715
11, -20, 1716
11, -20, 1717
11, -20, 1718
11, -20, 1719
11, -20, 1720
15, -1, 1721
11, -20, 1722
11, -20, 1726
13, -10, 1771
13, -10, 1726
14, 1, 1771
12, 20, 1771
11, -20, 1774
11, -20, 1776
11, -20, 1777
11, -20, 1778
11, -20, 1779
11, -20, 1780
11, -20, 1781
11, -20, 1782
11, -20, 1783
11, -20, 1784
11, -20, 1785
11, -20, 1786
11, -20, 1787
11, -20, 1787
11, -20, 1788
11, -20, 1789
11, -20, 1790
11, -20, 1791
11, -20, 1792
11, -20, 1793
11, -20, 1794
11, -20, 1795
11, -20, 1796
11, -20, 1797
11, -20, 1798
11, -20, 1799
15, -1, 1800
11, -20, 1801
11, -20, 1805
13, -10, 1850
13, -10, 1805
14, 1, 1850
12, 20, 1850
11, -20, 1852
11, -20, 1855
11, -20, 1856
11, -20, 1857
11, -20, 1858
11, -20, 1859
11, -20, 1860
11, -20, 1861
11, -20, 1862
11, -20, 1863
11, -20, 1863
11, -20, 1864
11, -20, 1865
11, -20, 1866
11, -20, 1867
11, -20, 1868
11, -20, 1869
11, -20, 1870
11, -20, 1871
11, -20, 1872
11, -20, 1873
11, -20, 1874
11, -20, 1875
11, -20, 1876
11, -20, 1877
11, -20, 1878
15, -1, 1879
11, -20, 1880
11, -20, 1884
13, -10, 1929
13, -10, 1884
14, 1, 1929
12, 20, 1929
11, -20, 1931
11, -20, 1934
11, -20, 1935
11, -20, 1936
11, -20, 1937
11, -20, 1937
11, -20, 1938
11, -20, 1939
11, -20, 1940
11, -20, 1941
11, -20, 1942
11, -20, 1943
11, -20, 1944
11, -20, 1945
11, -20, 1946
11, -20, 1947
11, -20, 1948
11, -20, 1949
11, -20, 1950
11, -20, 1951
11, -20, 1952
11, -20, 1953
11, -20, 1954
11, -20, 1955
11, -20, 1956
11, -20, 1957
15, -1, 1958
11, -20, 1959
11, -20, 1963
13, -10, 2008
13, -10, 1963
14, 1, 2008
12, 20, 2008
11, -20, 2010
11, -20, 2012
11, -20, 2013
11, -20, 2014
11, -20, 2015
11, -20, 2016
11, -20, 2017
11, -20, 2018
11, -20, 2019
11, -20, 2020
11, -20, 2021
11, -20, 2022
11, -20, 2023
11, -20, 2024
11, -20, 2025
11, -20, 2026
11, -20, 2027
11, -20, 2028
11, -20, 2029
11, -20, 2030
11, -20, 2031
11, -20, 2032
11, -20, 2033
11, -20, 2034
11, -20, 2035
11, -20, 2036
15, -1, 2036
11, -20, 2037
11, -20, 2041
11, -20, 2086
13, -10, 2087
13, -10, 2041
7, -20, 2089
7, -20, 2091
13, -10, 2092
14, 1, 2094
12, 20, 2094
13, -10, 2096
13, -10, 2097
13, -10, 2098
13, -10, 2099
13, -10, 2100
13, -10, 2101
13, -10, 2102
13, -10, 2103
13, -10, 2104
13, -10, 2105
13, -10, 2106
13, -10, 2107
13, -10, 2108
13, -10, 2109
13, -10, 2110
13, -10, 2110
13, -10, 2111
13, -10, 2112
13, -10, 2113
13, -10, 2114
13, -10, 2115
13, -10, 2116
13, -10, 2117
13, -10, 2118
13, -10, 2119
15, -1, 2120
13, -10, 2121
15, -1, 2169
14, 1, 2169
12, 20, 2169
13, -10, 2172
13, -10, 2173
13, -10, 2174
13, -10, 2175
13, -10, 2176
13, -10, 2177
13, -10, 2178
13, -10, 2179
13, -10, 2180
13, -10, 2181
13, -10, 2182
13, -10, 2183
13, -10, 2184
13, -10, 2185
13, -10, 2186
13, -10, 2187
13, -10, 2188
13, -10, 2189
13, -10, 2190
13, -10, 2190
13, -10, 2191
13, -10, 2192
13, -10, 2193
13, -10, 2194
13, -10, 2195
13, -10, 2196
15, -1, 2197
13, -10, 2198
15, -1, 2246
14, 1, 2246
12, 20, 2246
13, -10, 2249
13, -10, 2250
13, -10, 2251
13, -10, 2252
13, -10, 2253
13, -10, 2254
13, -10, 2255
13, -10, 2256
13, -10, 2257
13, -10, 2258
13, -10, 2259
13, -10, 2260
13, -10, 2261
13, -10, 2262
13, -10, 2263
13, -10, 2264
13, -10, 2265
13, -10, 2266
13, -10, 2267
13, -10, 2267
13, -10, 2268
13, -10, 2269
13, -10, 2270
13, -10, 2271
13, -10, 2272
13, -10, 2273
15, -1, 2274
13, -10, 2275
13, -10, 2279
15, -1, 2325
14, 1, 2325
14, 1, 2279
12, 20, 2325
13, -10, 2327
13, -10, 2330
13, -10, 2331
13, -10, 2332
13, -10, 2333
13, -10, 2334
13, -10, 2335
13, -10, 2336
13, -10, 2337
13, -10, 2338
13, -10, 2339
13, -10, 2340
13, -10, 2341
13, -10, 2342
13, -10, 2343
13, -10, 2344
13, -10, 2345
13, -10, 2345
13, -10, 2346
13, -10, 2347
13, -10, 2348
13, -10, 2349
13, -10, 2350
13, -10, 2351
13, -10, 2352
13, -10, 2353
15, -1, 2354
13, -10, 2355
13, -10, 2359
15, -1, 2404
14, 1, 2404
14, 1, 2359
12, 20, 2404
13, -10, 2406
13, -10, 2409
13, -10, 2410
13, -10, 2411
13, -10, 2412
13, -10, 2413
13, -10, 2414
13, -10, 2415
13, -10, 2416
13, -10, 2417
13, -10, 2418
13, -10, 2419
13, -10, 2420
13, -10, 2421
13, -10, 2422
13, -10, 2423
13, -10, 2424
13, -10, 2425
13, -10, 2426
13, -10, 2427
13, -10, 2427
13, -10, 2428
13, -10, 2429
13, -10, 2430
13, -10, 2431
13, -10, 2432
15, -1, 2433
13, -10, 2434
13, -10, 2446
15, -1, 2483
14, 1, 2483
14, 1, 2446
12, 20, 2483
13, -10, 2485
13, -10, 2488
13, -10, 2489
13, -10, 2490
13, -10, 2491
13, -10, 2492
13, -10, 2493
13, -10, 2494
13, -10, 2495
13, -10, 2496
13, -10, 2497
13, -10, 2498
