/usr/libexec/qemu-kvm -hda /tmp/jbplr7wsqG.dsk -hdb build/filesys.dsk -m 4 -net none -nographic -monitor null
PiLo hda1
Loading...........
Kernel command line: -sched-instrument -q run shell
Pintos booting with 4,088 kB RAM...
382 pages available in kernel pool.
382 pages available in user pool.
Calibrating timer...  3,352,166,400 loops/s.
hda: 1,008 sectors (504 kB), model "QM00001", serial "QEMU HARDDISK"
hda1: 185 sectors (92 kB), Pintos OS kernel (20)
hdb: 5,040 sectors (2 MB), model "QM00002", serial "QEMU HARDDISK"
hdb1: 4,096 sectors (2 MB), Pintos file system (21)
filesys: using hdb1
Boot complete.
Executing 'shell':
Shell starting...
pintos> nice 20 count-looper 100000 &
*TID: 11, Nice: 20, Tick: 948
*TID: 10, Nice: 20, Tick: 948
*TID: 11, Nice: 20, Tick: 952
*TID: 10, Nice: 20, Tick: 952
*TID: 11, Nice: 20, Tick: 956
*TID: 10, Nice: 20, Tick: 956
*TID: 11, Nice: 20, Tick: 960
*TID: 10, Nice: 20, Tick: 960
*TID: 11, Nice: 20, Tick: 964
*TID: 10, Nice: 20, Tick: 964
*TID: 11, Nice: 20, Tick: 968
*TID: 10, Nice: 20, Tick: 968
*TID: 11, Nice: 20, Tick: 972
*TID: 10, Nice: 20, Tick: 972
*TID: 11, Nice: 20, Tick: 976
*TID: 10, Nice: 20, Tick: 976
*TID: 11, Nice: 20, Tick: 980
*TID: 10, Nice: 20, Tick: 980
*TID: 11, Nice: 20, Tick: 984
*TID: 10, Nice: 20, Tick: 984
*TID: 11, Nice: 20, Tick: 988
*TID: 10, Nice: 20, Tick: 988
*TID: 11, Nice: 20, Tick: 992
*TID: 10, Nice: 20, Tick: 992
*TID: 11, Nice: 20, Tick: 996
*TID: 10, Nice: 20, Tick: 996
*TID: 11, Nice: 20, Tick: 1000
*TID: 10, Nice: 20, Tick: 1000
*TID: 11, Nice: 20, Tick: 1004
*TID: 10, Nice: 20, Tick: 1004
*TID: 11, Nice: 20, Tick: 1008
*TID: 4, Nice: 20, Tick: 1012
*TID: 7, Nice: 20, Tick: 1012
*TID: 7, Nice: 20, Tick: 1013
*TID: 7, Nice: 20, Tick: 1015
*TID: 12, Nice: 20, Tick: 1016
*TID: 11, Nice: 20, Tick: 1017
*TID: 12, Nice: 20, Tick: 1021
*TID: 11, Nice: 20, Tick: 1021
*TID: 12, Nice: 20, Tick: 1025
*TID: 11, Nice: 20, Tick: 1025
*TID: 12, Nice: 20, Tick: 1029
*TID: 11, Nice: 20, Tick: 1029
*TID: 12, Nice: 20, Tick: 1033
*TID: 11, Nice: 20, Tick: 1033
*TID: 12, Nice: 20, Tick: 1037
*TID: 11, Nice: 20, Tick: 1037
*TID: 12, Nice: 20, Tick: 1041
*TID: 11, Nice: 20, Tick: 1041
*TID: 12, Nice: 20, Tick: 1045
*TID: 10, Nice: 20, Tick: 1045
*TID: 12, Nice: 20, Tick: 1049
*TID: 11, Nice: 20, Tick: 1049
*TID: 12, Nice: 20, Tick: 1053
*TID: 10, Nice: 20, Tick: 1053
*TID: 12, Nice: 20, Tick: 1057
*TID: 11, Nice: 20, Tick: 1057
*TID: 12, Nice: 20, Tick: 1061
*TID: 10, Nice: 20, Tick: 1061
*TID: 12, Nice: 20, Tick: 1065
*TID: 11, Nice: 20, Tick: 1065
*TID: 12, Nice: 20, Tick: 1069
*TID: 10, Nice: 20, Tick: 1069
*TID: 12, Nice: 20, Tick: 1073
*TID: 11, Nice: 20, Tick: 1073
*TID: 12, Nice: 20, Tick: 1077
*TID: 10, Nice: 20, Tick: 1077
*TID: 12, Nice: 20, Tick: 1081
*TID: 11, Nice: 20, Tick: 1081
*TID: 12, Nice: 20, Tick: 1085
*TID: 10, Nice: 20, Tick: 1085
*TID: 12, Nice: 20, Tick: 1089
*TID: 11, Nice: 20, Tick: 1089
*TID: 12, Nice: 20, Tick: 1093
*TID: 10, Nice: 20, Tick: 1093
*TID: 12, Nice: 20, Tick: 1097
*TID: 11, Nice: 20, Tick: 1097
*TID: 12, Nice: 20, Tick: 1101
*TID: 10, Nice: 20, Tick: 1101
*TID: 12, Nice: 20, Tick: 1105
*TID: 11, Nice: 20, Tick: 1105
*TID: 12, Nice: 20, Tick: 1109
*TID: 10, Nice: 20, Tick: 1109
*TID: 12, Nice: 20, Tick: 1113
*TID: 11, Nice: 20, Tick: 1113
*TID: 12, Nice: 20, Tick: 1117
*TID: 10, Nice: 20, Tick: 1117
*TID: 12, Nice: 20, Tick: 1121
*TID: 11, Nice: 20, Tick: 1121
*TID: 12, Nice: 20, Tick: 1125
*TID: 10, Nice: 20, Tick: 1125
*TID: 12, Nice: 20, Tick: 1129
*TID: 11, Nice: 20, Tick: 1129
*TID: 12, Nice: 20, Tick: 1133
*TID: 10, Nice: 20, Tick: 1133
*TID: 12, Nice: 20, Tick: 1137
*TID: 11, Nice: 20, Tick: 1137
*TID: 12, Nice: 20, Tick: 1141
*TID: 10, Nice: 20, Tick: 1141
*TID: 12, Nice: 20, Tick: 1145
*TID: 11, Nice: 20, Tick: 1145
*TID: 12, Nice: 20, Tick: 1149
*TID: 10, Nice: 20, Tick: 1149
*TID: 12, Nice: 20, Tick: 1153
*TID: 11, Nice: 20, Tick: 1153
*TID: 12, Nice: 20, Tick: 1157
*TID: 10, Nice: 20, Tick: 1157
*TID: 12, Nice: 20, Tick: 1161
*TID: 11, Nice: 20, Tick: 1161
*TID: 12, Nice: 20, Tick: 1165
*TID: 10, Nice: 20, Tick: 1165
